时间,容量
20200408:04:40,32.69
20200408:04:50,32.69
20200408:05:00,32.69
20200408:05:10,32.69
20200408:05:20,32.69
20200408:05:30,32.69
20200408:05:40,32.69
20200408:05:50,32.69
20200408:06:00,32.69
20200408:06:10,32.69
20200408:06:20,32.69
20200408:06:30,32.69
20200408:06:40,32.69
20200408:06:50,32.69
20200408:07:00,32.69
20200408:07:10,32.69
20200408:07:20,32.69
20200408:07:30,32.69
20200408:07:40,32.69
20200408:07:50,32.69
20200408:08:00,32.69
20200408:08:10,32.69
20200408:08:20,32.69
20200408:08:30,32.69
20200408:08:40,32.69
20200408:08:50,32.69
20200408:09:00,32.39
20200408:09:10,32.4
20200408:09:20,32.42
20200408:09:30,32.5
20200408:09:40,32.53
20200408:09:50,32.53
20200408:10:00,32.53
20200408:10:10,32.53
20200408:10:20,32.54
20200408:10:30,32.55
20200408:10:40,32.55
20200408:10:50,32.56
20200408:11:00,32.68
20200408:11:10,32.57
20200408:11:20,32.57
20200408:11:30,32.58
20200408:11:40,32.58
20200408:11:50,32.58
20200408:12:00,32.58
20200408:12:10,32.58
20200408:12:20,32.58
20200408:12:30,32.58
20200408:12:40,32.58
20200408:12:50,32.58
20200408:13:00,32.58
20200408:13:10,32.68
20200408:13:20,32.59
20200408:13:30,32.6
20200408:13:40,32.6
20200408:13:50,32.6
20200408:14:00,32.61
20200408:14:10,32.62
20200408:14:20,32.62
20200408:14:30,32.62
20200408:14:40,32.63
20200408:14:50,32.64
20200408:15:00,32.65
20200408:15:10,32.69
20200408:15:20,32.69
20200408:15:30,32.7
20200408:15:40,32.7
20200408:15:50,32.7
20200408:16:00,32.7
20200408:16:10,32.71
20200408:16:20,32.73
20200408:16:30,32.74
20200408:16:40,32.76
20200408:16:50,32.76
20200408:17:00,32.76
20200408:17:10,32.76
20200408:17:20,32.76
20200408:17:30,32.76
20200408:17:40,32.76
20200408:17:50,32.76
20200408:18:00,32.76
20200408:18:10,32.76
20200408:18:20,32.76
20200408:18:30,32.76
20200408:18:40,32.76
20200408:18:50,32.76
20200408:19:00,32.76
20200408:19:10,32.76
20200408:19:20,32.76
20200408:19:30,32.76
20200408:19:40,32.76
20200408:19:50,32.76
20200408:20:00,32.76
20200408:20:10,32.76
20200408:20:20,32.76
20200408:20:30,32.76
20200408:20:40,32.76
20200408:20:50,32.76
20200408:21:00,32.76
20200408:21:10,32.76
20200408:21:20,32.76
20200408:21:30,32.76
20200408:21:40,32.76
20200408:21:50,32.76
20200408:22:00,32.76
20200408:22:10,32.76
20200408:22:20,32.76
20200408:22:30,32.76
20200408:22:40,32.76
20200408:22:50,32.76
20200408:23:00,32.76
20200408:23:10,32.76
20200408:23:20,32.76
20200408:23:30,32.76
20200408:23:40,32.76
20200408:23:50,32.76
20200409:00:00,32.76
20200409:00:10,32.73
20200409:00:20,32.74
20200409:00:30,32.74
20200409:00:40,32.74
20200409:00:50,32.74
20200409:01:00,32.74
20200409:01:10,32.74
20200409:01:20,32.74
20200409:01:30,32.74
20200409:01:40,32.74
20200409:01:50,32.74
20200409:02:00,32.74
20200409:02:10,32.74
20200409:02:20,32.74
20200409:02:30,32.74
20200409:02:40,32.74
20200409:02:50,32.74
20200409:03:00,32.74
20200409:03:10,32.74
20200409:03:20,32.74
20200409:03:30,32.74
20200409:03:40,32.74
20200409:03:50,32.74
20200409:04:00,32.74
20200409:04:10,32.74
20200409:04:20,32.74
20200409:04:30,32.74
20200409:04:40,32.74
20200409:04:50,32.74
20200409:05:00,32.74
20200409:05:10,32.74
20200409:05:20,32.74
20200409:05:30,32.74
20200409:05:40,32.74
20200409:05:50,32.74
20200409:06:00,32.74
20200409:06:10,32.74
20200409:06:20,32.74
20200409:06:30,32.74
20200409:06:40,32.74
20200409:06:50,32.74
20200409:07:00,32.74
20200409:07:10,32.74
20200409:07:20,32.74
20200409:07:30,32.74
20200409:07:40,32.74
20200409:07:50,32.74
20200409:08:00,32.74
20200409:08:10,32.74
20200409:08:20,32.74
20200409:08:30,32.74
20200409:08:40,32.74
20200409:08:50,32.74
20200409:09:00,32.44
20200409:09:10,32.45
20200409:09:20,32.47
20200409:09:30,32.55
20200409:09:40,32.57
20200409:09:50,32.58
20200409:10:00,32.58
20200409:10:10,32.58
20200409:10:20,32.59
20200409:10:30,32.6
20200409:10:40,32.6
20200409:10:50,32.6
20200409:11:00,32.81
