时间,容量
2020-01-03:22,488460134.3529925
2020-01-04:00,488495458.8246613
2020-01-04:02,488726918.75795335
2020-01-04:04,488842940.7407494
2020-01-04:06,488943453.5400026
2020-01-04:08,488981620.6566953
2020-01-04:10,489016370.3694969
2020-01-04:12,489083973.0741874
2020-01-04:14,489149309.97245854
2020-01-04:16,489178776.80317104
2020-01-04:18,489203237.31215936
2020-01-04:20,489226512.32103
2020-01-04:22,489251145.2383041
2020-01-05:00,489289360.89046115
2020-01-05:02,489529726.96914303
2020-01-05:04,489676314.1602988
2020-01-05:06,489776067.2617922
2020-01-05:08,489886557.0430952
2020-01-05:10,489977700.35870016
2020-01-05:12,490051666.2683046
2020-01-05:14,490089632.5731264
2020-01-05:16,490119071.87126553
2020-01-05:18,490141947.68900704
2020-01-05:20,490163710.3036427
2020-01-05:22,490250855.9429861
2020-01-06:00,490921914.34128654
2020-01-06:02,492042065.92468566
2020-01-06:04,492521515.80315787
2020-01-06:06,493015151.55719334
2020-01-06:08,493514646.27483
2020-01-06:10,493942899.31643116
2020-01-06:12,494015439.6857835
2020-01-06:14,494111225.55652535
2020-01-06:16,494173678.0337393
2020-01-06:18,494200489.77037466
2020-01-06:20,494224779.8278827
2020-01-06:22,494331362.5641466
2020-01-07:00,495372678.11563176
2020-01-07:02,496281685.9508516
2020-01-07:04,496589841.69549257
2020-01-07:06,497067509.38073915
2020-01-07:08,497287681.8086479
2020-01-07:10,497520119.26722986
2020-01-07:12,497747796.6115568
2020-01-07:14,497878461.4098664
2020-01-07:16,497946870.4078619
2020-01-07:18,497973071.8963179
2020-01-07:20,497996766.76201504
2020-01-07:22,498126984.98088634
2020-01-08:00,499198976.6296384
2020-01-08:02,500374501.528918
2020-01-08:04,500827690.1950604
2020-01-08:06,501531147.9176101
2020-01-08:08,501965056.9908936
2020-01-08:10,502142360.0376702
2020-01-08:12,502279683.89952826
2020-01-08:14,502379365.82117385
2020-01-08:16,502443374.28660905
2020-01-08:18,502469491.6482448
2020-01-08:20,502493197.04327863
2020-01-08:22,502615127.2573756
2020-01-09:00,503530665.37750274
2020-01-09:02,504377159.3623298
2020-01-09:04,504759473.065317
2020-01-09:06,505235636.13920325
2020-01-09:08,505679877.7717636
2020-01-09:10,506244422.7840275
2020-01-09:12,506609457.95123184
2020-01-09:14,506743482.89415634
2020-01-09:16,506813011.7372379
2020-01-09:18,506841279.7257733
2020-01-09:20,506866749.38781434
2020-01-09:22,506998612.4305712
2020-01-10:00,507897231.79236126
2020-01-10:02,508732032.02130497
