时间,容量
2019-12-29:10,61552932.48221961
2019-12-29:12,61582772.0596436
2019-12-29:14,61609294.97553721
2019-12-29:16,61633438.34198114
2019-12-29:18,61655281.81635221
2019-12-29:20,61676704.49934486
2019-12-29:22,61732838.80150738
2019-12-30:00,61896721.76928202
2019-12-30:02,62091989.94656709
2019-12-30:04,62228444.79452306
2019-12-30:06,62416307.24035639
2019-12-30:08,62506982.23761792
2019-12-30:10,62568290.62193397
2019-12-30:12,62603374.696711205
2019-12-30:14,62645619.97910115
2019-12-30:16,62678438.80048479
2019-12-30:18,62700931.96439989
2019-12-30:20,62723188.96212001
2019-12-30:22,62770420.96091191
2019-12-31:00,63099836.73366092
2019-12-31:02,63319462.30649896
2019-12-31:04,63449847.79710431
2019-12-31:06,63617147.32262841
2019-12-31:08,63882725.57278565
2019-12-31:10,63966129.68418501
2019-12-31:12,64040184.235076
2019-12-31:14,64085026.9413391
2019-12-31:16,64259917.01898585
2019-12-31:18,64285696.47426625
2019-12-31:20,64310616.74775942
2019-12-31:22,64336432.66801116
2020-01-01:00,64488438.5965671
2020-01-01:02,64579367.37906184
2020-01-01:04,64637810.53046383
2020-01-01:06,64672503.50931605
2020-01-01:08,64761481.29659329
2020-01-01:10,64792712.11861897
2020-01-01:12,64823340.85892295
2020-01-01:14,64853819.66282757
2020-01-01:16,64881351.87669025
2020-01-01:18,64905813.32569444
2020-01-01:20,64930044.16821279
2020-01-01:22,64989575.86269894
2020-01-02:00,65230343.03828617
2020-01-02:02,65583518.84139151
2020-01-02:04,65730871.75879193
2020-01-02:06,65905045.6038391
2020-01-02:08,66019056.73660902
2020-01-02:10,66089051.56792451
2020-01-02:12,66142902.21159592
2020-01-02:14,66188566.28590146
2020-01-02:16,66222551.28632074
2020-01-02:18,66246465.56125525
2020-01-02:20,66269365.3788391
2020-01-02:22,66326568.02218962
2020-01-03:00,66573084.49682915
2020-01-03:02,66883817.87997904
2020-01-03:04,67013092.68193134
2020-01-03:06,67184077.10497905
2020-01-03:08,67284032.58742139
2020-01-03:10,67333194.83384433
2020-01-03:12,67385798.87767294
2020-01-03:14,67431280.91839623
2020-01-03:16,67466800.1605739
2020-01-03:18,67492538.8965671
2020-01-03:20,67517734.18208857
2020-01-03:22,67543564.85093705
2020-01-04:00,67573814.14527383
2020-01-04:02,67655184.11084905
2020-01-04:04,67703968.53173481
2020-01-04:06,67746923.20602725
2020-01-04:08,67773810.10547695
2020-01-04:10,67802644.99385484
2020-01-04:12,67841022.84882075
2020-01-04:14,67878400.32724056
2020-01-04:16,67905610.50790095
2020-01-04:18,67930589.51517296
2020-01-04:20,67953647.84675053
2020-01-04:22,67977044.3636067
2020-01-05:00,68004969.25733754
2020-01-05:02,68086772.32420073
2020-01-05:04,68141777.97349319
2020-01-05:06,68192715.55003929
2020-01-05:08,68243304.4082547
2020-01-05:10,68286493.07395178
2020-01-05:12,68325345.90613207
2020-01-05:14,68355823.9711871
2020-01-05:16,68383334.7034198
2020-01-05:18,68408045.70788784
2020-01-05:20,68432297.98574424
2020-01-05:22,68479987.71251285
2020-01-06:00,68716767.52429245
2020-01-06:02,69053386.06336477
2020-01-06:04,69208934.870663
2020-01-06:06,69392068.87779087
2020-01-06:08,69566078.6951782
2020-01-06:10,69718231.2148585
2020-01-06:12,69756129.97167191
2020-01-06:14,69801120.56894653
2020-01-06:16,69835436.10161163
2020-01-06:18,69858870.80062895
2020-01-06:20,69881620.89439204
2020-01-06:22,69934655.78072672
2020-01-07:00,70303209.6326389
2020-01-07:02,70601184.85849056
2020-01-07:04,70724281.12471174
2020-01-07:06,70903207.46931341
2020-01-07:08,70990348.63772273
2020-01-07:10,71071802.78580973
2020-01-07:12,71148737.43844339
2020-01-07:14,71201070.62450211
2020-01-07:16,71236850.27513103
2020-01-07:18,71261313.54545337
2020-01-07:20,71284813.52628408
2020-01-07:22,71346778.13235275
